Location,,ContainerID,Alms,LoadPort,,Disch.Port,,,,Monitored,Temp SP,Supply,,Return
421386,,CGMU5431240,0,PAMIT,,ESVLC/ESVLC,,,,Unchecked,-23,"-27,66",,"-24,51"
421384,,CGMU4987894,0,PAMIT,,ESVLC/ESVLC,,,,Unchecked,-25,"-25,91",,"-25,04"
421582,,CGMU5276334,0,PAMIT,,ESVLC/ESVLC,,,,Unchecked,-25,"-29,13",,"-25,04"
421382,,CGMU4947572,0,PAMIT,,ESVLC/ESVLC,,,,Unchecked,-25,"-281,875",,"-243,125"
421586,,CGMU5306151,0,PAMIT,,ESVLC/ESVLC,,,,Unchecked,-20,"-23,5",,"-19,1"
421584,,TGHU9936805,0,PAMIT,,ESVLC/ESVLC,,,,Unchecked,,,,
420806,,TLLU1080429,0,CRMOB,,ESVLC/ESVLC,,,,Unchecked,-23,"-238,125",,-23
421110,,CGMU5244110,0,CRMOB,,ESVLC/ESVLC,,,,Unchecked,"13,9","13,52",,"13,93"
180684,,CGMU5231751,0,CRMOB,,ESVLC/ESVLC,,,,Unchecked,"13,9","14,1",,"14,4"
421212,,CXRU1385509,0,CRMOB,,ESVLC/ESVLC,,,,Unchecked,,,,
101682,,TRIU8739556,0,CRMOB,,ESVLC/ESVLC,,,,Unchecked,,,,
421182,,TEMU9432314,0,CRMOB,,ESVLC/ESVLC,,,,Unchecked,,,,
421012,,TCLU1371200,0,CRMOB,,ESVLC/ESVLC,,,,Unchecked,,,,
421184,,CXRU1363520,0,CRMOB,,ESVLC/ESVLC,,,,Unchecked,,,,
420912,,TCLU1067239,0,CRMOB,,ESVLC/ESVLC,,,,Unchecked,,,,
421010,,SZLU9038859,0,CRMOB,,ESVLC/ESVLC,,,,Unchecked,,,,
420910,,TTNU8226604,0,CRMOB,,ESVLC/ESVLC,,,,Unchecked,,,,
180884,,TRIU8658372,0,CRMOB,,ESVLC/ESVLC,,,,Unchecked,,,,
101284,,CRSU6102876,0,CRMOB,,ESVLC/ESVLC,,,,Unchecked,,,,
420804,,TCLU1156491,0,CRMOB,,ESVLC/ESVLC,,,,Unchecked,,,,
101684,,TCLU1200568,0,CRMOB,,ESVLC/ESVLC,,,,Unchecked,,,,
180682,,TCLU1314370,0,CRMOB,,ESVLC/ESVLC,,,,Unchecked,,,,
421006,,TLLU1053655,0,CRMOB,,ESVLC/ESVLC,,,,Unchecked,,,,
421008,,CXRU1385432,0,CRMOB,,ESVLC/ESVLC,,,,Unchecked,,,,
421210,,CAIU5460931,0,CRMOB,,ESVLC/ESVLC,,,,Unchecked,,,,
101482,,TCLU1200697,0,CRMOB,,ESVLC/ESVLC,,,,Unchecked,,,,
180882,,CAIU5462425,0,CRMOB,,ESVLC/ESVLC,,,,Unchecked,,,,
420908,,TLLU1050234,0,CRMOB,,ESVLC/ESVLC,,,,Unchecked,,,,
101282,,TCLU1160613,0,CRMOB,,ESVLC/ESVLC,,,,Unchecked,,,,
420906,,TLLU1052772,0,CRMOB,,ESVLC/ESVLC,,,,Unchecked,,,,
421112,,TCLU1291070,0,CRMOB,,ESVLC/ESVLC,,,,Unchecked,,,,
421208,,TLLU1050168,0,CRMOB,,ESVLC/ESVLC,,,,Unchecked,,,,
101484,,TLLU1079006,0,CRMOB,,ESVLC/ESVLC,,,,Unchecked,-23,"-241,875",,"-229,375"
70282,,CGMU3043035,0,ESALG,,ESVLC/ESVLC,,,,Unchecked,,,,
421108,,APRU5779498,0,ESALG,,ESVLC/ESVLC,,,,Unchecked,,,,
61282,,SZLU9627606,0,ESALG,,GPPTP/GPPTP,,,,Unchecked,,,,
420082,,CGMU5361164,0,MTMLA,,COCTG/COCTG,,,,Checked,20,"19,94",,"19,67"
220882,,CGMU4961415,0,MTMLA,,USHOU/USHOU,,,,Checked,-18,"-19,78",,"-17,77"
140412,,CGMU5143352,0,MTMLA,,MXVER/MXVER,,,,Checked,1,1,,2
221082,,TCLU1197675,0,MTMLA,,USHOU/USHOU,,,,Unchecked,,,,
220682,,AXIU6111163,0,MTMLA,,USHOU/USHOU,,,,Unchecked,,,,
220482,,TCLU1212722,0,MTMLA,,DOCAU/DOCAU,,,,Unchecked,,,,
180810,,CGMU5454610,0,ITLIV,,ESVLC/ESVLC,,,,Unchecked,-20,"-24,8",,-20
150284,,CGMU2989331,0,ITLIV,,MXVER/MXVER,,,,Checked,-25,"-26,42",,"-25,16"
350612,,CGMU3017118,0,ITLIV,,JMKIN/JMKIN,,,,Checked,-25,"-26,63",,"-25,19"
341212,,CGMU6536009,0,ITLIV,,DOCAU/DOCAU,,,,Unchecked,,,,
180812,,CXRU1314296,0,ITLIV,,ESVLC/ESVLC,,,,Unchecked,,,,
140482,,CXRU1525030,0,ITLIV,,MXVER/MXVER,,,,Unchecked,,,,
180612,,NPFU4951612,0,ITLIV,,ESVLC/ESLPA,,,,Unchecked,,,,
340912,,CGMU5096543,0,ITGOA,,GPPTP/GPPTP,,,,Checked,14,"14,1",,"13,9"
341112,,CGMU6904899,0,ITGOA,,GPPTP/GPPTP,,,,Checked,-20,"-22,1",,"-17,1"
150682,,CGMU2991513,0,ITGOA,,JMKIN/JMKIN,,,,Checked,20,"20,02",,"20,14"
541082,,CGMU5003411,0,ITGOA,,COCTG/ECGYE,,,,Checked,0,"0,09",,"1,2"
541482,,CGMU5168638,0,ITGOA,,COCTG/ECGYE,,,,Unchecked,,,,
460084,,CGMU5410401,0,ITGOA,,DOCAU/DOCAU,,,,Checked,-20,-26,,"-19,7"
140812,,CGMU5427493,0,ITGOA,,JMKIN/NCNOU,,,,Unchecked,14,"14,6",,"13,93"
541282,,CXRU1525529,0,ITGOA,,COCTG/ECGYE,,,,Unchecked,,,,
340910,,MFTU8191661,0,ITGOA,,GPPTP/GPPTP,,,,Unchecked,,,,
341110,,MFTU8192631,0,ITGOA,,GPPTP/GPPTP,,,,Unchecked,,,,
541484,,SEGU9133003,0,ITGOA,,COCTG/COCTG,,,,Unchecked,,,,
541284,,TCLU1071943,0,ITGOA,,COCTG/COCTG,,,,Checked,17,"17,25",,"17,25"
460082,,TCLU1303946,0,ITGOA,,DOCAU/DOCAU,,,,Unchecked,,,,
