Location,,ContainerID,Alms,LoadPort,Disch.Port,,,,,Monitored,Temp SP,Supply,,Return
381184,,CGMU5087011,0,ESALG,GPPTP/PTLEI/GPPTP,,,,,Checked,-20,"-19,8",,"-20,6"
100112,,SEGU9046378,0,ESALG,MQFDF/MAAGA/MQFDF,,,,,Unchecked,,,,
460106,,SEGU9216480,0,ESALG,COCTG/PTLEI/AWBAR,,,,,Unchecked,,,,
341112,,CGMU5411270,0,MTMLA,GPPTP/ITAOI/ANPHI,,,,,Checked,-20,-24,,"-19,4"
260310,,APRU5728248,0,ITLIV,COCTG/ITSAL/AWBAR,,,,,Unchecked,,,,
180882,,APRU5785572,0,ITLIV,DOCAU/ITSAL/DOCAU,,,,,Unchecked,,,,
71682,,CGMU3049028,0,ITLIV,MXVER/ITLIV/MXVER,,,,,Unchecked,5,"4,96",,"4,96"
180612,,CGMU5225044,0,ITLIV,DOCAU/ITLIV/DOCAU,,,,,Checked,12,"12,1",,"12,2"
260210,,CGMU5270980,0,ITLIV,COCTG/ITLIV/CLSAI,,,,,Checked,12,"13,58",,"12,94"
180684,,CGMU5377197,0,ITLIV,DOCAU/ITSAL/DOCAU,,,,,Checked,0,"0,299999999999994",,"0,500000000000007"
260102,,CGMU5393541,0,ITLIV,COCTG/ITLIV/CLSAI,,,,,Checked,12,"12,1",,"12,1"
260108,,CGMU5394445,0,ITLIV,COCTG/ITLIV/CLSAI,,,,,Checked,12,"12,5",,"12,3"
260304,,CGMU5394569,0,ITLIV,COCTG/ITLIV/CLSAI,,,,,Checked,12,"11,6",,"12,1"
260308,,CGMU5394580,0,ITLIV,COCTG/ITLIV/CLSAI,,,,,Checked,12,"12,7",,"12,3"
260110,,CGMU5395462,0,ITLIV,COCTG/ITLIV/CLSAI,,,,,Checked,12,"12,5",,"12,3"
260104,,CGMU5423841,0,ITLIV,COCTG/ITLIV/CLSAI,,,,,Checked,12,"12,7",,"12,17"
260206,,CGMU5425490,0,ITLIV,COCTG/ITLIV/CLSAI,,,,,Checked,12,"11,82",,"11,86"
260204,,CGMU5480965,0,ITLIV,COCTG/ITLIV/CLSAI,,,,,Unchecked,12,"12,34",,"12,02"
260306,,CGMU5484810,0,ITLIV,COCTG/ITLIV/CLSAI,,,,,Checked,12,"11,19",,"12,02"
260106,,CGMU5485313,0,ITLIV,COCTG/ITLIV/CLSAI,,,,,Checked,12,"12,44",,"12,16"
260208,,CGMU5505195,0,ITLIV,COCTG/ITLIV/CLSAI,,,,,Checked,12,"11,25",,"11,94"
180884,,CGMU9344972,0,ITLIV,DOCAU/ITSAL/DOCAU,,,,,Unchecked,,,,
180682,,CRSU6098879,0,ITLIV,DOCAU/ITSAL/DOCAU,,,,,Unchecked,,,,
430688,,CGMU3021416,0,ITGOA,JMKIN/ITGOA/PFPPT,,,,,Indeterminate,,,,
310586,,CGMU3073132,0,ITGOA,GPPTP/ITGOA/GFDDC,,,,,Unchecked,14,"14,39",,"14,04"
301182,,CGMU5027938,0,ITGOA,GPPTP/ITGOA/VGRAD,,,,,Checked,2,"13,45",,"9,39"
300984,,CGMU5393829,0,ITGOA,GPPTP/GPPTP,,,,,Checked,14,"14,4",,14
300982,,CGMU5410696,0,ITGOA,GPPTP/GPPTP,,,,,Checked,14,"14,2",,"14,2"
301106,,CGMU9365717,0,ITGOA,COCTG/ITGOA/COCTG,,,,,Checked,13,"13,35",,"12,92"
421286,,TTNU8275070,0,ITGOA,JMKIN/ITGOA/PFPPT,,,,,Indeterminate,,,,
341282,,CGMU5507599,0,ESBCN,COCTG/ESBCN/PAMIT,,,,,Checked,-18,"-16,89",,"-17,91"
341284,,CGMU5509708,0,ESBCN,COCTG/ESBCN/CLSAI,,,,,Checked,-22,"-26,15",,"-23,47"
341286,,CGMU5030973,0,ESBCN,COCTG/ESBCN/CLSAI,,,,,Checked,-22,"-23,78",,"-21,52"
341082,,TRIU8675657,0,ESBCN,COCTG/ESBCN/CLSAI,,,,,Indeterminate,,,,
341482,,APRU5786970,0,ESBCN,COCTG/ESBCN/CLSAI,,,,,Indeterminate,,,,
61184,,CGMU5163180,0,ESBCN,MXVER/ESBCN/MXVER,,,,,Checked,20,"20,1",,20
380286,,BMOU9742281,0,ESBCN,COCTG/ESBCN/CLSAI,,,,,Checked,-22,-21,,"-20,875"
591182,,CRSU5022610,0,ESBCN,GPPTP/ESBCN/GPPTP,,,,,Indeterminate,,,,
181484,,SEGU9157073,0,ESBCN,DOCAU/ESBCN/DOCAU,,,,,Indeterminate,,,,
581382,,BMOU9642071,0,ESBCN,GPPTP/MAPTM/GPPTP,,,,,Indeterminate,,,,
380086,,AMCU9270463,0,ESBCN,COCTG/ESBCN/CLSAI,,,,,Indeterminate,,,,
580982,,TTNU8950435,0,ESBCN,GPPTP/MAPTM/GPPTP,,,,,Checked,6,6,,"61,875"
181482,,TRIU8969630,0,ESBCN,DOCAU/ESBCN/DOCAU,,,,,Indeterminate,,,,
380106,,SEGU9528699,0,ESBCN,COCTG/ESBCN/CLSAI,,,,,Checked,"300,000,000,000,001","3,4",,"380,000,000,000,001"
581384,,GESU9553085,0,ESBCN,GPPTP/ESBCN/GPPTP,,,,,Indeterminate,,,,
60584,,TTNU8686976,0,ESBCN,MXVER/ESBCN/MXVER,,,,,Unchecked,20,"21,4",,"22,64"
341084,,CHIU9010480,0,ESBCN,COCTG/ESBCN/CLSAI,,,,,Indeterminate,,,,
341086,,SZLU9625060,0,ESBCN,COCTG/ESBCN/CLSAI,,,,,Indeterminate,,,,
