Location,,ContainerID,Alms,LoadPort,,Disch.Port,,,,Monitored,Temp SP,Supply,,Return
270104,,CGMU2990712,0,GPPTP,,FRMRS/FRMRS,,,,Checked,20,"19,94",,"20,24"
380506,,CGMU9409040,0,USHOU,,MTMLA/TRMER,,,,Checked,20,"21,17",,"20,84"
140712,,CGMU6543570,0,MXVER,,MTMLA/MEBAR,,,,Checked,"13,5","13,5",,"141,875"
141282,,CGMU9363416,0,MXVER,,MTMLA/MEBAR,,,,Checked,"13,5","13,53",,"14,12"
141482,,CGMU5252712,0,MXVER,,MTMLA/MEBAR,,,,Checked,"13,5","13,33",,"13,55"
140582,,APRU6139345,0,MXVER,,MTMLA/MEBAR,,,,Unchecked,,,,
141284,,SEGU9216432,0,MXVER,,MTMLA/MEBAR,,,,Unchecked,,,,
341212,,CGMU6523336,0,PAMIT,,MTMLA/MTMLA,,,,Checked,"133,125","136,875",,"143,125"
341312,,GESU9556839,0,PAMIT,,MTMLA/MTMLA,,,,Checked,"13,2","13,2",,"13,52"
340708,,CGMU5431240,0,PAMIT,,ESVLC/ESVLC,,,,Checked,-23,"-22,23",,"-23,2"
340510,,CGMU4987894,0,PAMIT,,ESVLC,,,,Checked,-25,"-27,68",,"-24,86"
340310,,CGMU6543728,0,PAMIT,,ITLIV/ITLIV,,,,Checked,"13,625","136,875",,"141,875"
340506,,CGMU5276334,0,PAMIT,,ESVLC/ESVLC,,,,Checked,-25,"-28,67",,"-25,08"
340108,,CGMU4909150,0,PAMIT,,ITLIV/ITLIV,,,,Checked,"13,3","13,29",,"14,22"
341406,,CGMU4909459,0,PAMIT,,MTMLA,,,,Checked,"13,3","13,3",,"14,03"
340712,,CGMU5242165,0,PAMIT,,FRMRS/FRMRS,,,,Checked,-18,"-22,3",,"-17,36"
340906,,CGMU5453506,0,PAMIT,,MTMLA,,,,Checked,"13,3","13,2",,"14,2"
341310,,CGMU5454781,0,PAMIT,,MTMLA,,,,Checked,"13,3","13,5",,"14,6"
340306,,CGMU4918240,0,PAMIT,,ITLIV/ITLIV,,,,Checked,"13,6","13,53",,"14,15"
341008,,CGMU9398285,0,PAMIT,,MTMLA,,,,Checked,"13,3","14,66",,"14,25"
340806,,CGMU5452618,0,PAMIT,,MTMLA,,,,Checked,"13,3","13,2",,"14,6"
340808,,CGMU5453548,0,PAMIT,,MTMLA,,,,Checked,"13,3","13,2",,"14,5"
341412,,CGMU5453620,0,PAMIT,,MTMLA,,,,Checked,"13,3","13,5",,"14,7"
341108,,AMCU9266205,0,PAMIT,,MTMLA,,,,Checked,"133,125","12,875",,"148,125"
340706,,CGMU4947572,0,PAMIT,,ESVLC/ESVLC,,,,Checked,-25,"-29,125",,"-248,125"
341012,,CGMU9317724,0,PAMIT,,MTMLA/MTMLA,,,,Checked,"13,2","13,45",,"13,78"
340710,,CGMU5306151,0,PAMIT,,ESVLC/ESVLC,,,,Checked,-20,"-23,8",,"-19,7"
340612,,CGMU5431929,0,PAMIT,,MTMLA/MTMLA,,,,Checked,-20,"-19,64",,"-20,22"
341210,,TCLU1285713,0,PAMIT,,MTMLA,,,,Checked,"133,125","130,625",,"138,125"
340212,,CRSU6101289,0,PAMIT,,ITLIV/ITLIV,,,,Checked,"13,8","15,15",,"14,8"
430102,,CGMU3054127,0,PAMIT,,MTMLA/MTMLA,,,,Checked,-21,"-19,98",,"-20,87"
180584,,CGMU5429304,0,PAMIT,,ITLIV/ITLIV,,,,Checked,-20,"-18,71",,"-19,77"
180784,,CGMU5298879,0,PAMIT,,ITLIV/ITLIV,,,,Checked,"13,3","13,1",,"13,8"
341382,,CGMU5043986,0,PAMIT,,MTMLA/MTMLA,,,,Checked,"13,3","13,27",,"14,04"
340682,,CGMU4960785,0,PAMIT,,MTMLA/MTMLA,,,,Checked,,,,
340782,,CGMU4924999,0,PAMIT,,MTMLA/MTMLA,,,,Checked,"13,3","13,31",,"14,28"
341584,,SZLU9191488,0,PAMIT,,MTMLA/MTMLA,,,,Checked,-18,"-17,68",,"-18,35"
340784,,CGMU5193749,0,PAMIT,,MTMLA/MTMLA,,,,Checked,"13,3","13,4",,"13,35"
140306,,TRLU1744339,0,PAMIT,,MTMLA/MTMLA,,,,Checked,"13,3","13,3",,"13,9"
340984,,CGMU6517890,0,PAMIT,,MTMLA/MTMLA,,,,Checked,"133,125","136,875",,"13,625"
341184,,CGMU4948141,0,PAMIT,,MTMLA/MTMLA,,,,Checked,"133,125","13,375",,"14,125"
140204,,CGMU4967136,0,PAMIT,,MTMLA/MTMLA,,,,Checked,"13,3","13,29",,"13,67"
420304,,CGMU4999977,0,PAMIT,,MTMLA/MTMLA,,,,Checked,"13,3","13,18",,"13,74"
420404,,CGMU5227601,0,PAMIT,,MTMLA/MTMLA,,,,Checked,"13,2","13,3",,"14,1"
140182,,CGMU5453276,0,PAMIT,,MTMLA/MTMLA,,,,Checked,13,"12,9",,"13,8"
420204,,CGMU4958746,1,PAMIT,,MTMLA/MTMLA,,,,Checked,"133,125","13,375",,"141,875"
141382,,AMCU9294418,0,PAMIT,,MTMLA/MTMLA,,,,Checked,13,"13,03",,"13,38"
