Location,,ContainerID,Alms,LoadPort,Disch.Port,,,,,Monitored,Temp SP,Supply,,Return
340412,,CGMU9281196,0,MXVER,MTMLA/MXTA2/MTMLA,,,,,Checked,"13,5","13,47",,"14,29"
340410,,CGMU9332483,0,MXVER,MTMLA/MXTA2/MTMLA,,,,,Checked,"13,5","13,43",,"13,86"
340310,,TTNU8629256,0,MXVER,MTMLA/MXTA2/MTMLA,,,,,Checked,"13,5","13,5",,"14,625"
340108,,CGMU9328816,0,MXVER,MTMLA/MXTA2/MTMLA,,,,,Checked,"13,5","13,61",,"13,73"
340110,,SEGU9133322,0,MXVER,MTMLA/MXTA2/MTMLA,,,,,Checked,"13,5","13,53",,"13,79"
340112,,TTNU8622230,0,MXVER,MTMLA/MXTA2/MTMLA,,,,,Checked,"13,5","13,625",,"14,5"
340208,,SEGU9650475,0,MXVER,MTMLA/MXTA2/MTMLA,,,,,Checked,"13,5",13,,"14,9"
340082,,TLLU1070945,0,MXVER,MTMLA/MXTA2/MTMLA,,,,,Checked,"13,5","134,375",,"136,875"
,,SPAR0092208,1,,,,,,,Checked,"13,5","138,125",,"145,625"
420304,,CRSU6099073,0,PAMIT,MTMLA,,,,,Checked,"13,3","12,14",,"13,88"
420306,,BMOU9626960,0,PAMIT,MTMLA/ZZMIT/TRIST,,,,,Checked,"7,5","7,625",,"78,125"
140810,,TCLU1286875,0,PAMIT,ESBCN,,,,,Checked,-20,"-215,625",,-20
140608,,CGMU9334676,0,PAMIT,ESBCN,,,,,Checked,-20,"-27,37",,-20
140486,,SEGU9027022,0,CRMOB,ITLIV,,,,,Indeterminate,,,,
100508,,CGMU5349560,0,CRMOB,MTMLA/UAODS,,,,,Checked,"13,3","13,3",,"13,9"
221388,,CGMU5406844,0,CRMOB,ITLIV/ITLIV,,,,,Checked,"720,000,000,000,001","7,6",,"800,000,000,000,001"
380710,,CGMU5407157,0,CRMOB,ITLIV/ITLIV,,,,,Checked,"720,000,000,000,001","7,5",,"859,999,999,999,999"
221488,,SZLU9498108,0,CRMOB,ITLIV/ITLIV,,,,,Checked,"7,2","7,2",,"7,48"
540386,,CGMU5176000,0,CRMOB,ITLIV/ITLIV,,,,,Checked,"720,000,000,000,001","7,3",,"800,000,000,000,001"
180104,,BMOU9809019,0,CRMOB,MTMLA/UAODS,,,,,Indeterminate,,,,
300606,,TRLU1698830,0,CRMOB,ITGOA,,,,,Indeterminate,,,,
221584,,TCLU1200721,0,CRMOB,ITLIV,,,,,Indeterminate,,,,
300808,,TLLU1050954,0,CRMOB,ITGOA,,,,,Indeterminate,,,,
140088,,TCLU1290833,0,CRMOB,ITLIV,,,,,Indeterminate,,,,
221382,,GESU9589724,0,CRMOB,ITLIV,,,,,Indeterminate,,,,
380906,,GESU9586833,0,CRMOB,ITLIV,,,,,Indeterminate,,,,
100512,,SEGU9534388,0,CRMOB,MTMLA/UAODS,,,,,Checked,"13,2","13,3",,"13,9"
540284,,TCLU1153553,0,CRMOB,ITLIV,,,,,Indeterminate,,,,
221384,,CGMU5427699,0,CRMOB,ITLIV/ITLIV,,,,,Unchecked,"7,2","7,2",,"7,32"
380712,,MFTU8191002,0,CRMOB,ITLIV,,,,,Indeterminate,,,,
181006,,CGMU5078956,0,CRMOB,MTMLA/UAODS,,,,,Unchecked,"13,3","13,92",,"14,07"
180712,,TCLU1196220,0,CRMOB,MTMLA/UAODS,,,,,Indeterminate,,,,
180906,,CGMU5189857,0,CRMOB,MTMLA/LYKHO,,,,,Checked,"13,3","13,5",,"14,1"
180602,,CGMU6518577,0,CRMOB,MTMLA/SAJED,,,,,Checked,"133,125","14,125",,14
180408,,CGMU6517992,0,CRMOB,MTMLA/SAJED,,,,,Checked,"133,125","12,875",,"14,375"
300708,,GESU9586659,0,CRMOB,ITGOA,,,,,Indeterminate,,,,
100408,,CGMU5343094,0,CRMOB,MTMLA/UAODS,,,,,Indeterminate,,,,
100206,,TTNU8700122,0,CRMOB,MTMLA/UAODS,,,,,Checked,"133,125","13,25",,"13,375"
300806,,TCLU1290849,0,CRMOB,ITGOA,,,,,Indeterminate,,,,
221084,,TCLU1313374,0,CRMOB,ESVLC,,,,,Indeterminate,,,,
100208,,CGMU9370293,1,CRMOB,MTMLA/UAODS,,,,,Checked,"12,8",,,"13,13"
180704,,TTNU8266084,0,CRMOB,MTMLA/UAODS,,,,,Indeterminate,,,,
100102,,APRU5722701,0,CRMOB,MTMLA/UAODS,,,,,Indeterminate,,,,
341210,,APRU5797296,0,CRMOB,MTMLA/UAODS,,,,,Indeterminate,,,,
220608,,MFTU8192462,0,CRMOB,ESVLC,,,,,Indeterminate,,,,
220606,,CAIU5460171,0,CRMOB,ESVLC,,,,,Indeterminate,,,,
100410,,TRLU1735548,0,CRMOB,MTMLA/UAODS,,,,,Indeterminate,,,,
140282,,SEGU9528873,0,CRMOB,ITLIV/ITLIV,,,,,Checked,"6,5","6,8",,"7,3"
220886,,TCLU1161163,0,CRMOB,ITLIV,,,,,Indeterminate,,,,
221284,,MFTU8192797,0,CRMOB,ESVLC,,,,,Indeterminate,,,,
540282,,CAIU5460989,0,CRMOB,ITLIV,,,,,Indeterminate,,,,
140384,,CAIU5462425,0,CRMOB,ITLIV,,,,,Indeterminate,,,,
300510,,TCLU1200399,0,CRMOB,ITGOA,,,,,Indeterminate,,,,
221184,,SZLU9499444,0,CRMOB,ITLIV/ITLIV,,,,,Indeterminate,,,,
540382,,TTNU8686847,0,CRMOB,ITLIV/ITLIV,,,,,Checked,"7,2","7,23",,"7,18"
540984,,CGMU5378070,0,CRMOB,ITLIV/ITLIV,,,,,Checked,"71,875","71,875",,"8,375"
540084,,CGMU5313741,0,CRMOB,ITLIV/ITLIV,,,,,Indeterminate,,,,
220588,,GESU9586279,0,CRMOB,ITLIV,,,,,Indeterminate,,,,
180910,,CGMU5326991,0,CRMOB,MTMLA/TRAVC,,,,,Checked,"6,5","6,4",,"6,43"
180710,,CGMU5034602,0,CRMOB,MTMLA/CRMOB,,,,,Checked,"13,3","14,21",,"14,25"
100104,,CRLU1410628,0,CRMOB,MTMLA/CRMOB,,,,,Indeterminate,,,,
180404,,MGNU3313957,0,CRMOB,MTMLA/CRMOB,,,,,Indeterminate,,,,
181108,,TRLU1697915,0,CRMOB,MTMLA/CRMOB,,,,,Indeterminate,,,,
100110,,SEGU9529083,0,CRMOB,MTMLA/CRMOB,,,,,Checked,"13,3","13,4",,"14,1"
340612,,CRLU1820047,0,CRMOB,MTMLA/CRMOB,,,,,Indeterminate,,,,
340610,,BMOU9733401,0,CRMOB,MTMLA/CRMOB,,,,,Indeterminate,,,,
180510,,APRU5105016,0,CRMOB,MTMLA/CRMOB,,,,,Indeterminate,,,,
380606,,TTNU8055836,0,CRMOB,ITLIV,,,,,Indeterminate,,,,
140386,,TCLU1207053,0,CRMOB,ITLIV,,,,,Indeterminate,,,,
420204,,TEMU9430950,0,CRMOB,MTMLA/UAODS,,,,,Indeterminate,,,,
140186,,BMOU9878811,0,CRMOB,ITLIV,,,,,Indeterminate,,,,
140182,,MFTU8190304,0,CRMOB,ITLIV,,,,,Indeterminate,,,,
300810,,TLLU1051375,0,CRMOB,ITGOA,,,,,Indeterminate,,,,
300612,,TLLU1051267,0,CRMOB,ITGOA,,,,,Indeterminate,,,,
221582,,SEGU9527310,0,CRMOB,ITLIV/CRMOB,,,,,Checked,"720,000,000,000,001","699,999,999,999,999",,"810,000,000,000,001"
300710,,MFTU8192631,0,CRMOB,ITGOA,,,,,Indeterminate,,,,
380810,,MFTU8191189,0,CRMOB,ITLIV,,,,,Indeterminate,,,,
221386,,SEGU9002615,0,CRMOB,ITLIV,,,,,Indeterminate,,,,
220688,,CGMU5153026,0,CRMOB,ITLIV/CRMOB,,,,,Indeterminate,,,,
221482,,SEGU9005614,0,CRMOB,ESVLC,,,,,Indeterminate,,,,
340512,,CGMU5060237,0,CRMOB,MTMLA/CRMOB,,,,,Checked,"6,5","6,5",,"6,8"
300610,,TCLU1332097,0,CRMOB,ITGOA,,,,,Indeterminate,,,,
380612,,TCLU1161991,0,CRMOB,ITLIV,,,,,Indeterminate,,,,
300508,,TLLU1051333,0,CRMOB,ITGOA,,,,,Indeterminate,,,,
341012,,TCLU1070504,0,CRMOB,MTMLA/UAODS,,,,,Indeterminate,,,,
140284,,TCLU1210313,0,CRMOB,ITLIV,,,,,Indeterminate,,,,
140382,,MFTU8191738,0,CRMOB,ITLIV,,,,,Indeterminate,,,,
220984,,MFTU8190161,0,CRMOB,ITLIV,,,,,Indeterminate,,,,
140084,,MFTU8190599,0,CRMOB,ITLIV,,,,,Indeterminate,,,,
340510,,TTNU8262279,0,CRMOB,MTMLA/UAODS,,,,,Indeterminate,,,,
181010,,SEGU9541875,0,CRMOB,MTMLA/LYKHO,,,,,Checked,"13,3","13,2",,"14,1"
180106,,BMOU9733628,0,CRMOB,MTMLA/UAODS,,,,,Checked,"128,125","12,875",,14
