Location,,ContainerID,Alms,LoadPort,Disch.Port,,,,,Monitored,Temp SP,Supply,,Return
140810,,TCLU1286875,0,PAMIT,ESBCN/MAAGA,,,,,Checked,-20,"-20,5",,"-199,375"
140608,,CGMU9334676,0,PAMIT,ESBCN/ESVGO,,,,,Checked,-20,"-22,3",,"-20,41"
300606,,TRLU1698830,0,CRMOB,ITGOA/RULED,,,,,Unchecked,,,,
300808,,TLLU1050954,0,CRMOB,ITGOA/SNDKR,,,,,Unchecked,,,,
300708,,GESU9586659,0,CRMOB,ITGOA/CISPY,,,,,Unchecked,,,,
300806,,TCLU1290849,0,CRMOB,ITGOA/GHTKD,,,,,Unchecked,,,,
221084,,TCLU1313374,0,CRMOB,ESVLC/ESALG,,,,,Unchecked,,,,
220608,,MFTU8192462,0,CRMOB,ESVLC/CISPY,,,,,Unchecked,,,,
220606,,CAIU5460171,0,CRMOB,ESVLC/ESALG,,,,,Unchecked,,,,
221284,,MFTU8192797,0,CRMOB,ESVLC/PTLEI,,,,,Unchecked,,,,
300510,,TCLU1200399,0,CRMOB,ITGOA/CMKBI,,,,,Unchecked,,,,
300810,,TLLU1051375,0,CRMOB,ITGOA/MXVER,,,,,Unchecked,,,,
300612,,TLLU1051267,0,CRMOB,ITGOA/CISPY,,,,,Unchecked,,,,
300710,,MFTU8192631,0,CRMOB,ITGOA/NOBVK,,,,,Unchecked,,,,
221482,,SEGU9005614,0,CRMOB,ESVLC/NOBVK,,,,,Unchecked,,,,
300610,,TCLU1332097,0,CRMOB,ITGOA/GHTKD,,,,,Unchecked,,,,
300508,,TLLU1051333,0,CRMOB,ITGOA/CRMOB,,,,,Unchecked,,,,
300608,,TLLU1050424,0,CRMOB,ITGOA/CRMOB,,,,,Unchecked,,,,
300706,,TLLU1053059,0,CRMOB,ITGOA/COBAQ,,,,,Unchecked,,,,
300512,,GESU9588076,0,CRMOB,ITGOA/CISPY,,,,,Unchecked,,,,
300506,,SEGU9027341,0,CRMOB,ITGOA/ESALG,,,,,Unchecked,,,,
380908,,TRIU8131925,0,CRMOB,ESBCN/CISPY/ESBCN,,,,,Unchecked,,,,
381310,,BMOU9739164,0,CRMOB,ESBCN/MXVER/ESBCN,,,,,Checked,"13,875",14,,"14,5"
380510,,TRIU8784220,0,CRMOB,ESBCN/MXVER/ESBCN,,,,,Unchecked,,,,
381306,,CGMU6503767,0,CRMOB,ESBCN/CISPY/ESBCN,,,,,Unchecked,,,,
381312,,TRIU8674408,0,CRMOB,ESBCN/CISPY/ESBCN,,,,,Unchecked,,,,
380508,,CGMU5037290,1,CRMOB,ESBCN/RULED/ESBCN,,,,,Checked,"13,9","13,35",,"14,38"
380906,,CGMU6505610,0,CRMOB,ESBCN/GPPTP/ESBCN,,,,,Unchecked,,,,
381108,,TRLU1718860,0,CRMOB,ESBCN/GAPOG/ESBCN,,,,,Unchecked,,,,
381106,,TRIU8504058,0,CRMOB,ESBCN/ESALG/ESBCN,,,,,Unchecked,,,,
380506,,APRU5807516,0,CRMOB,ESBCN/CISPY/ESBCN,,,,,Unchecked,,,,
381308,,TRIU8624515,0,CRMOB,ESBCN/CRMOB/ESBCN,,,,,Unchecked,,,,
380706,,TRIU8277205,0,CRMOB,ESBCN/CISPY/ESBCN,,,,,Unchecked,,,,
380708,,AMCU9298326,0,CRMOB,ESBCN/PTLEI/ESBCN,,,,,Checked,"13,9","13,8",,"13,9"
221082,,TRIU8684936,0,CRMOB,ESVLC/PTLEI/ESVLC,,,,,Unchecked,,,,
221682,,TTNU8256044,0,CRMOB,ESVLC/ESALG/ESVLC,,,,,Unchecked,,,,
221484,,TEMU9052844,0,CRMOB,ESVLC/PTLEI/ESVLC,,,,,Unchecked,,,,
220602,,TRIU8116113,0,CRMOB,ESVLC/GNCKY/ESVLC,,,,,Unchecked,,,,
221282,,APRU5794580,0,CRMOB,ESVLC/SNDKR/ESVLC,,,,,Unchecked,,,,
