Location,,ContainerID,Alms,LoadPort,Disch.Port,,,,Monitored,Temp SP,Supply,,Return
380282,,SEGU9536170,0,USHOU,PAMIT/USHOU/PECLL,,,,Checked,2.2,2.1,,2.7
540182,,CGMU9369970,0,USHOU,ESVLC/USHOU/ESVLC,,,,Unchecked,9,8.8,,9.3
380482,,SZLU9824288,0,USHOU,PAMIT/USHOU/CLSAI,,,,Unchecked,2.2,2.1,,2.2
380082,,CXRU1308210,0,USHOU,PAMIT/USHOU/CLSAI,,,,Unchecked,-23,-22.8,,-24.1
380382,,TRIU8750370,0,USHOU,PAMIT/USHOU/CLSAI,,,,Unchecked,-23,-23,,-23.9
420510,,TRIU8614219,0,USHOU,ESALG/USHOU/**SSG,,,,Unchecked,-18,-18.9,,-19.1
380284,,TRIU8621331,0,USHOU,PAMIT/USHOU/CLSAI,,,,Unchecked,-23,-21.8,,-23.7
380182,,TCLU1214345,0,USHOU,PAMIT/USHOU/CLSAI,,,,Unchecked,-23,-22.7,,-23.7
380084,,TEMU9845956,0,USHOU,PAMIT/USHOU/CLSAI,,,,Unchecked,-23,-23.9,,-24.6
181006,,CGMU5031774,0,MXVER,ITGOA/ITGOA,,,,Checked,1,1.03,,2.41
,,RMMU2227120,2,,,,,,Checked,,,,
420408,,TLLU1056844,0,MXVER,ESALG,,,,Checked,5,5.25,,5.88
420402,,TTNU8979613,0,MXVER,ESALG/ESALG,,,,Checked,3.5,3.38,,4.38
420404,,TLLU1070950,0,MXVER,ESALG/ESALG,,,,Checked,5,4.88,,6.13
420406,,TLLU1079937,0,MXVER,ESALG,,,,Checked,5,5.75,,4.88
220384,,CGMU5437721,0,MXVER,**MLT/**MLT,,,,Checked,13.5,13.6,,14.5
220382,,CGMU5068198,0,MXVER,**MLT/**MLT,,,,Checked,13.5,13.5,,14.5
181010,,CGMU5036694,0,MXVER,ITGOA/ITGOA,,,,Unchecked,1,1,,0.9
181008,,CRSU6099134,0,MXVER,ITGOA/ITGOA,,,,Unchecked,1,1,,2
