Location,,ContainerID,Alms,LoadPort,Disch.Port,Monitored,,,Temp SP,Supply,,Return,O2 Exp.,O2 SP,O2,CO2 Exp.,,CO2 SP,CO2,,N2
421406,,TLLU1049830,0,ESBCN,PAMIT/ESBCN/PAMIT/PAMIT,Unchecked,,,0,0.3,,0.5,,,,,,,,,
341082,,CGMU9303340,0,USHOU,ESALG/USHOU/**PNR,Checked,,,-18,-22.95,,-17.7,,,,,,,,,
341182,,CGMU9325083,0,USHOU,ESALG/USHOU/**CKY,Checked,,,-18,-18,,-17.68,,,,,,,,,
341282,,GESU9525606,0,USHOU,ESALG/USHOU/**PNR,Unchecked,,,-18,-18.3,,-18.6,,,,,,,,,
340984,,CXRU1321504,0,USHOU,ESALG/USHOU/**CKY,Unchecked,,,-18,-17.9,,-19.5,,,,,,,,,
340784,,TEMU9250834,0,USHOU,ESALG/USHOU/**PNR,Unchecked,,,-18,-18.3,,-19.4,,,,,,,,,
300084,,CXRU1529484,0,USHOU,PAMIT/USHOU/CLSAI,Unchecked,,,-23,-23.7,,-24.1,,,,,,,,,
340982,,CGMU5101721,0,USHOU,ESALG/USHOU/**CKY,Checked,,,-18,-27,,-18.9,,,,,,,,,
340584,,TCLU1270117,0,USHOU,ESALG/USHOU/**PNR,Unchecked,,,-18,-17.9,,-19.3,,,,,,,,,
340782,,TRIU8680843,0,USHOU,ESALG/USHOU/**CKY,Unchecked,,,-18,-17.8,,-19.3,,,,,,,,,
340684,,APRU5817073,0,USHOU,ESALG/USHOU/**PNR,Unchecked,,,-18,-18.5,,-19.6,,,,,,,,,
341582,,TRIU8507340,0,USHOU,ESALG/USHOU/**PNR,Unchecked,,,-18,-17.9,,-19.4,,,,,,,,,
300282,,CXRU1628126,0,USHOU,PAMIT/USHOU/CLSAI,Unchecked,,,-23,-23.2,,-24.6,,,,,,,,,
341682,,CGMU5461651,0,USHOU,ESALG/USHOU/**PNR,Checked,,,-18,-22.4,,-17.8,,,,,,,,,
300082,,TTNU8204781,0,USHOU,PAMIT/USHOU/CLSAI,Unchecked,,,-23,-23.4,,-23.8,,,,,,,,,
100884,,CGMU5153746,0,USHOU,ESBCN/USHOU/ESBCN,Unchecked,,,21,21.5,,21.4,,,,,,,,,
100888,,GESU9601481,0,USHOU,ESBCN/USHOU/ESBCN,Unchecked,,,21,21.3,,21.3,,,,,,,,,
340582,,SZLU9017033,0,USHOU,ESALG/USHOU/**LBV,Unchecked,,,-18,-18.4,,-19.8,,,,,,,,,
100682,,TRIU8134185,0,USHOU,ESBCN/USHOU/ESBCN,Unchecked,,,21,20.5,,21.3,,,,,,,,,
340882,,APRU5820267,0,USHOU,ESALG/USHOU/**LBV,Unchecked,,,-18,-17.9,,-19.1,,,,,,,,,
341382,,SZLU9642004,0,USHOU,ESALG/USHOU/**LBV,Unchecked,,,-18,-18.5,,-19.7,,,,,,,,,
100886,,CXRU1322440,0,USHOU,ESBCN/USHOU/ESBCN,Unchecked,,,21,21.4,,21.6,,,,,,,,,
340884,,CGMU5306260,0,USHOU,ESALG/USHOU/**LBV,Checked,,,-18,-21.6,,-16.7,,,,,,,,,
