Location,,ContainerID,Alms,LoadPort,Disch.Port,Monitored,,,Temp SP,Supply,,Return,,O2 Exp.,O2 SP,O2,CO2 Exp.,,CO2 SP,CO2,,N2
300884,,TTNU8688665,0,MTMLA,COCTG/MTMLA/COCTG,Checked,,,20,19.97,,21.61,,,,,,,,,,
380582,,TGHU9905954,0,MTMLA,JMKIN/EGEDK/HTLFF,Unchecked,,,5,5,,5.7,,,,,,,,,,
260910,,CGMU5194323,0,MTMLA,MXVER/INMUN/MXVER,Checked,,,18,18.02,,19.28,,,,,,,,,,
260912,,CGMU5163580,0,MTMLA,MXVER/INMUN/MXVER,Checked,,,18,18,,18.6,,,,,,,,,,
381382,,TCLU1135713,0,MTMLA,JMKIN/EGDAM/HTLFF,Unchecked,,,18,18.2,,18.1,,,,,,,,,,
381182,,APRU5716036,0,MTMLA,JMKIN/EGDAM/HTLFF,Unchecked,,,18,18.3,,18.1,,,,,,,,,,
380782,,SZLU9631674,0,MTMLA,JMKIN/INMUN/BZBZE,Unchecked,,,-21,-22.7,,-20.4,,,,,,,,,,
300882,,CGMU5370063,0,MTMLA,COCTG/INMUN/ECGYE,Unchecked,,,22,21.7,,21.9,,,,,,,,,,
380982,,TRIU8136676,0,MTMLA,JMKIN/INNSA/JMMBJ,Unchecked,,,-20,-23.4,,-19.8,,,,,,,,,,
260908,,CGMU5254398,0,MTMLA,MXVER/INMUN/MXVER,Checked,,,18,17.34,,17.88,,,,,,,,,,
300886,,SZLU9853558,0,MTMLA,COCTG/GRSKG/CLSAI,Unchecked,,,4,4.1,,5.4,,,,,,,,,,
590984,,CGMU3086438,0,ITLIV,COCTG/ITLIV/COCTG,Checked,,,20,20.71,,20.38,,,,,,,,,,
380382,,SZLU9060657,0,ITLIV,COCTG/ITLIV/COCTG,Unchecked,,,12,12.3,,12.7,,,,,,,,,,
380384,,TEMU9845658,0,ITLIV,COCTG/ITLIV/COCTG,Unchecked,,,20,20.4,,21,,,,,,,,,,
590982,,CGMU3075520,0,ITGOA,MXVER/ITGOA/MXVER,Checked,,,25,24.92,,24.76,,,,,,,,,,
580584,,CGMU5128698,0,ITGOA,MXVER/MXVER,Checked,,,15,15,,15.8,,,,,,,,,,
580782,,CRSU6014332,0,ITGOA,MXVER/ITGOA/MXVER,Unchecked,,,-20,-20.8,,-19.7,,,,,,,,,,
580582,,TEMU9237154,0,ITGOA,MXVER/ITGOA/MXVER,Checked,,,4,4.15,,4.35,,,,,,,,,,
21082,,TTNU8651727,0,ITGOA,JMKIN/ITGOA/PFPPT,Checked,,,14,13.83,,14.76,,,,,,,,,,
580384,,CGMU9340344,0,FRMRS,JMKIN/FRMRS/TRTRG,Checked,,,14,13.99,,14.25,,,,,,,,,,
580382,,APRU6135334,0,FRMRS,JMKIN/FRMRS/WIWIL,Unchecked,,,-20,-22.9,,-19.7,,,,,,,,,,
340882,,CGMU4944260,0,ESBCN,USHOU/ESBCN/USHOU,Checked,,,-18,-21.88,,-18,,,,,,,,,,
270406,,CGMU3020174,0,ESBCN,JMKIN/ESBCN/PFPPT,Checked,,,-18,-21.82,,-17.99,,,,,,,,,,
580886,,CGMU9294110,0,ESBCN,MXVER/ESBCN/MXVER,Checked,,,-22,-21.5,,-21.8,,,,,,,,,,
260110,,CGMU5117060,0,ESBCN,COCTG/ESBCN/MXZLO,Checked,,,-18,-21.8,,-17.2,,,,,,,,,,
270408,,CGMU3059176,0,ESBCN,JMKIN/ESBCN/NCNOU,Checked,,,2,1.98,,2.28,,,,,,,,,,
580686,,CGMU9295841,0,ESBCN,MXVER/ESBCN/MXVER,Checked,,,-22,-20.5,,-21.1,,,,,,,,,,
260212,,CGMU4913783,0,ESBCN,COCTG/ESBCN/COCTG,Checked,,,0,-0.02,,1.38,,,,,,,,,,
260112,,SEGU9963593,0,ESBCN,COCTG/ESBCN/MXZLO,Unchecked,,,-18,-20.6,,-18,,,,,,,,,,
580882,,CRXU6936762,0,ESBCN,MXVER/ESBCN/MXVER,Unchecked,,,-22,-22.8,,-22.2,,,,,,,,,,
260108,,TRIU8504567,0,ESBCN,COCTG/ESBCN/CLSAI,Unchecked,,,-18,-20.4,,-17.8,,,,,,,,,,
580684,,CGMU6526130,0,ESBCN,MXVER/ESBCN/MXVER,Unchecked,,,-22,-22.3,,-21.7,,,,,,,,,,
580284,,APRU6139664,0,ESBCN,JMKIN/ESBCN/MXPGO,Unchecked,,,-22,-23.8,,-21.7,,,,,,,,,,
580682,,TCLU1142380,0,ESBCN,MXVER/ESBCN/MXVER,Unchecked,,,-22,-21.8,,-21.8,,,,,,,,,,
580884,,TRIU8654232,0,ESBCN,MXVER/ESBCN/MXVER,Unchecked,,,-22,-23.3,,-21.9,,,,,,,,,,
260210,,CGMU6511079,0,ESBCN,COCTG/ESBCN/MXZLO,Unchecked,,,-18,-20.2,,-17.8,,,,,,,,,,
260208,,TCLU1377980,0,ESBCN,COCTG/ESBCN/COCTG,Unchecked,,,-22,-24,,-21.9,,,,,,,,,,
260412,,APRU5779348,0,ESBCN,JMKIN/ESBCN/VELAG,Unchecked,,,-22,-23.8,,-21.7,,,,,,,,,,
