Location,,ContainerID,Alms,LoadPort,Disch.Port,Monitored,,Temp SP,,Supply,,Return,,O2 Exp.,O2 SP,O2,CO2 Exp.,,CO2 SP,CO2,,N2
540384,,CGMU4954226,0,PAMIT,ESBCN/NICIO,Checked,,-17.81,,-21.38,,-17,,,,,,,,,,
540382,,TTNU8220756,0,PAMIT,ESVLC/NICIO,Unchecked,,-23,,-26,,-24.7,,,,,,,,,,
340412,,BMOU9644433,0,CRMOB,ESBCN,Checked,,13.31,,13.31,,13.63,,,0,20.3,,,0,0.3,,
340384,,CXRU1528580,0,CRMOB,ESBCN,Unchecked,,13.3,,13.3,,13.9,,,,,,,,,,
340382,,CGMU4989881,0,CRMOB,ESBCN,Checked,,13.9,,13.89,,14.55,,,,,,,,,,
340410,,APRU5600160,0,CRMOB,ESBCN,Unchecked,,13.9,,14,,14.3,,,,,,,,,,
340408,,APRU5841505,0,CRMOB,ESBCN,Unchecked,,13.9,,14,,14.5,,,,,,,,,,
340406,,TCLU1075574,0,CRMOB,ESBCN,Unchecked,,13.9,,14,,14.5,,,,,,,,,,
540182,,CGMU5179910,0,CRMOB,ESVLC,Checked,,-23,,-26.4,,-22.9,,,,,,,,,,
540184,,CGMU5103149,0,CRMOB,ESVLC,Checked,,-18,,-25,,-17.9,,,,,,,,,,
540082,,CGMU5084537,0,CRMOB,ESVLC,Unchecked,,-23,,-24.3,,-23.1,,,,,,,,,,
420302,,TLLU1045325,0,COCTG,ESVLC/ESVLC,Checked,,-20,,-23.69,,-19.94,,,0,,,,0,25.5,,
420410,,CGMU5269079,0,COCTG,ESVLC/ESVLC,Checked,,-25,,-27.55,,-24.86,,,,,,,,,,
420404,,CGMU5460193,0,COCTG,ESVLC/ESVLC,Checked,,-25,,-28,,-24.6,,,,,,,,,,
,,RMMU4422370,2,,,Checked,,,,,,,,,,,,,,,,
420312,,CGMU5183801,0,COCTG,ESVLC/ESVLC,Checked,,-25,,-24.43,,-25.07,,,,,,,,,,
420310,,SEKU9060827,0,COCTG,ESVLC/ESVLC,Checked,,-23,,-26.38,,-22.81,,,,,,,,,,
420282,,CXRU1638401,0,COCTG,ESVLC/ESVLC,Checked,,-23,,-25.14,,-22.87,,,,,,,,,,
420482,,CGMU5198838,0,COCTG,ESVLC/ESVLC,Checked,,-25,,-28.37,,-25.18,,,,,,,,,,
420382,,CGMU5567767,0,COCTG,ESVLC/ESVLC,Checked,,-20,,-28,,-20.3,,,,,,,,,,
420184,,TLLU1069667,0,COCTG,ESVLC/ESVLC,Checked,,-20,,-21.81,,-20,,,0,0,,,0,25.5,,
420084,,CGMU5197370,0,COCTG,ESVLC/ESVLC,Checked,,-25,,-28.16,,-24.86,,,,,,,,,,
420306,,FSCU5963764,0,COCTG,ESVLC/ESVLC,Unchecked,,-25,,-27.7,,-25.4,,,,,,,,,,
420082,,TRIU8511334,0,COCTG,ESVLC/ESVLC,Unchecked,,13,,13.1,,13.9,,,,,,,,,,
340082,,TTNU8204781,0,COCTG,ESBCN/ESBCN,Unchecked,,2,,2,,3,,,,,,,,,,
420408,,CGMU5435971,0,COCTG,ESVLC/ESVLC,Unchecked,,-25,,-27.5,,-25.1,,,,,,,,,,
340386,,CGMU5479218,0,COCTG,ESBCN/ESBCN,Checked,,1,,0.87,,1.06,,,,,,,,,,
340182,,APRU5855330,0,COCTG,ESBCN/ESBCN,Unchecked,,2,,2,,2.9,,,,,,,,,,
420406,,CXRU1383790,0,COCTG,ESVLC/ESVLC,Unchecked,,-18,,-22.1,,-19,,,,,,,,,,
420412,,SEGU9530490,0,COCTG,ESVLC/ESVLC,Unchecked,,-25,,-25.5,,-24.7,,,,,,,,,,
420182,,TRIU8504799,0,COCTG,ESVLC/ESVLC,Unchecked,,-18,,-18.7,,-17.9,,,,,,,,,,
340184,,SZLU9498155,0,COCTG,ESBCN/ESBCN,Checked,,1,,1.01,,1.55,,,,,,,,,,
420308,,TEMU9238269,0,COCTG,ESVLC/ESVLC,Unchecked,,-21,,-22.1,,-21.3,,,,,,,,,,
340084,,CGMU6913904,0,COCTG,ESBCN/ESBCN,Checked,,1,,1,,1.5,,,,,,,,,,
420304,,SEGU9964157,0,COCTG,ESVLC/ESVLC,Unchecked,,-25,,-28.4,,-25.8,,,,,,,,,,
180402,,CGMU4983570,0,ESALG,ESVLC/MAAGA/ESVLC,Checked,,-20,,-21.1,,-20.19,,,,,,,,,,
180408,,CGMU9324425,0,ESALG,ESVLC/MAAGA/ESVLC,Checked,,-20,,-26.24,,-20.04,,,,,,,,,,
421310,,APRU6116355,0,ESALG,GPPTP/ESVGO/GPPTP,Unchecked,,-20,,-23.6,,-20.8,,,,,,,,,,
180410,,CAIU5539430,0,ESALG,ESVLC/MAAGA/ESVLC,Unchecked,,-20,,-22,,-20.4,,,,,,,,,,
180412,,CGMU5093483,0,ESALG,ESVLC/MAAGA/ESVLC,Unchecked,,-20,,-21.1,,-19.9,,,,,,,,,,
260808,,CGMU9362169,0,ESALG,COCTG/ESALG/CLSAI,Checked,,16,,15.66,,16.47,,,,,,,,,,
180406,,SEGU9130051,0,ESALG,ESVLC/MAAGA/ESVLC,Unchecked,,-20,,-20.7,,-20.4,,,,,,,,,,
180404,,TRIU8070671,0,ESALG,ESVLC/MAAGA/ESVLC,Unchecked,,-20,,-23.8,,-20.6,,,,,,,,,,
180308,,TTNU8664494,0,ESALG,ESVLC/MAAGA/ESVLC,Unchecked,,-20,,-21.7,,-20.5,,,,,,,,,,
260806,,TTNU8777973,0,ESALG,COCTG/ESALG/CLSAI,Unchecked,,16,,16.3,,16.4,,,,,,,,,,
340910,,CGMU4946658,0,MTMLA,USHOU/INMAA/USHOU,Checked,,-18,,-20.88,,-17.88,,,,,,,,,,
261212,,CGMU4994954,0,MTMLA,DOCAU/INCOK/DOCAU,Checked,,-21,,-19.94,,-20.92,,,,,,,,,,
340908,,GESU9552448,0,MTMLA,USHOU/INMAA/USHOU,Checked,,-18,,-17.62,,-17.79,,,,,,,,,,
340710,,CAIU5588630,0,MTMLA,USHOU/INMAA/USHOU,Checked,,-18,,-20.13,,-18,,,0,20.7,,,0,25.5,,
300810,,TCLU1144546,0,MTMLA,JMKIN/TRMER/VEPBL,Unchecked,,17,,16.9,,17.5,,,,,,,,,,
300706,,BMOU9725788,0,MTMLA,JMKIN/TRMER/VELAG,Unchecked,,14,,14.1,,15.1,,,,,,,,,,
300906,,CGMU5364538,0,MTMLA,JMKIN/TRMER/VELAG,Checked,,18,,19.19,,18.16,,,,,,,,,,
300808,,CGMU5314753,0,MTMLA,JMKIN/TRMER/VELAG,Checked,,18,,18.2,,18.3,,,,,,,,,,
300708,,APRU5777730,0,MTMLA,JMKIN/TRMER/VELAG,Unchecked,,18,,18.1,,18.5,,,,,,,,,,
301010,,GESU9590345,0,MTMLA,JMKIN/TRMER/VELAG,Unchecked,,18,,18.1,,18.3,,,,,,,,,,
300806,,APRU5797402,0,MTMLA,JMKIN/LBBEY/VELAG,Unchecked,,18,,18.1,,18.6,,,,,,,,,,
300910,,APRU5798939,0,MTMLA,JMKIN/INNSA/JMMBJ,Unchecked,,-20,,-20.3,,-20.1,,,,,,,,,,
301008,,SZLU9625774,0,MTMLA,JMKIN/INNSA/JMMBJ,Unchecked,,-20,,-23.6,,-20.2,,,,,,,,,,
220610,,TCLU1283074,0,MTMLA,COCTG/INMUN/COCTG,Unchecked,,22,,21.8,,22.6,,,,,,,,,,
261112,,CGMU5058733,0,MTMLA,DOCAU/INNSA/DOCAU,Checked,,-20,,-25.3,,-19.1,,,,,,,,,,
300908,,SZLU9642200,0,MTMLA,JMKIN/INNSA/JMKIN,Unchecked,,-20,,-20.6,,-19.8,,,,,,,,,,
341206,,CRSU6095972,0,MTMLA,USHOU/INMAA/USHOU,Unchecked,,-18,,-19,,-18,,,,,,,,,,
341208,,CGMU9318470,0,MTMLA,USHOU/INMAA/USHOU,Unchecked,,-18,,-18.8,,-18.1,,,,,,,,,,
220612,,CGMU5479780,0,MTMLA,COCTG/SIKOP/COCTG,Checked,,20,,20.43,,20.12,,,,,,,,,,
340808,,TRIU8127334,0,MTMLA,USHOU/INMAA/USHOU,Unchecked,,-18,,-19.3,,-18.1,,,,,,,,,,
301006,,CGMU5242015,0,MTMLA,JMKIN/INCOK/MXPGO,Checked,,-18,,-17.3,,-17.85,,,,,,,,,,
220510,,CGMU5410994,0,MTMLA,COCTG/SIKOP/COCTG,Unchecked,,20,,20.2,,20.5,,,,,,,,,,
340906,,CGMU5077899,0,MTMLA,USHOU/INMAA/USHOU,Unchecked,,-18,,-19.5,,-18.2,,,,,,,,,,
220912,,CGMU5459124,0,ITLIV,COCTG/ITLIV/COCTG,Checked,,6,,6.1,,6.7,,,,,,,,,,
220910,,CGMU5143835,0,ITLIV,COCTG/ITLIV/COCTG,Checked,,10,,9.6,,10.6,,,,,,,,,,
420912,,CAIU5540810,0,ITLIV,GPPTP/ITLIV/GPPTP,Unchecked,,12,,12,,12.6,,,,,,,,,,
260110,,SEGU9685424,0,ITLIV,USHOU/ITLIV/USHOU,Checked,,-25,,-24,,-24,,,,,,,,,,
420910,,TLLU1042352,0,ITLIV,GPPTP/ITLIV/GPPTP,Unchecked,,14,,13.9,,14.6,,,,,,,,,,
450608,,CGMU3015481,0,ITGOA,MXVER/ITGOA,Checked,,27,,27.47,,27.36,,,,,,,,,,
450602,,CGMU3027353,0,ITGOA,MXVER/ITGOA,Checked,,25,,21.41,,25.52,,,,,,,,,,
420882,,APRU6109839,0,ITGOA,JMKIN/ITGOA/NZTRG,Unchecked,,5,,5,,5.9,,,,,,,,,,
450604,,CGMU3036822,0,ITGOA,MXVER/ITGOA,Unchecked,,27,,27.2,,27.9,,,,,,,,,,
380686,,CGMU5026546,0,ITGOA,COCTG/ITGOA/PAMIT,Unchecked,,16,,16.2,,16.8,,,,,,,,,,
380682,,CGMU5096970,0,ITGOA,COCTG/ITGOA/CLSAI,Unchecked,,16,,16.1,,18,,,,,,,,,,
