Location,,ContainerID,Alms,LoadPort,,Disch.Port,,,,Monitored,Temp SP,Supply,,Return
180382,,CRLU1611854,0,COCTG,,ESALG/ESALG,,,,Unchecked,13,13.1,,14.1
461008,,TRIU8652013,0,COCTG,,MTMLA/MTMLA,,,,Unchecked,14,14,,14.4
620784,,CGMU5417480,1,COCTG,,ESALG/ESALG,,,,Checked,-1.7,-1.4,,-0.7
420386,,GESU9603329,0,COCTG,,ITGOA/ITGOA,,,,Unchecked,13,13.1,,13.5
220482,,TCLU1259904,0,COCTG,,ESALG/ESALG,,,,Unchecked,-20,-22.4,,-20.6
221182,,CGMU5343664,0,COCTG,,ESALG/ESALG,,,,Checked,5,5.1,,5.8
381388,,BMOU9758966,0,COCTG,,ESALG/ESALG,,,,Unchecked,13,13.1,,14
420482,,TTNU8012705,0,COCTG,,ITGOA/ITGOA,,,,Unchecked,13,13.1,,13.5
460284,,AMCU9291790,0,COCTG,,MTMLA/MTMLA,,,,Unchecked,14,14.1,,14.7
420182,,CGMU5079382,0,COCTG,,ITGOA/ITGOA,,,,Unchecked,13,13,,13.5
180186,,TCLU1317024,0,COCTG,,ESALG/ESALG,,,,Unchecked,13,13.1,,13.6
140382,,TRIU8741105,0,COCTG,,ESALG/ESALG,,,,Unchecked,13,13.1,,13.8
461084,,TTNU8203466,0,COCTG,,MTMLA/MTMLA,,,,Unchecked,13,13.1,,13.7
420784,,TRIU8861374,0,COCTG,,ITLIV/ITLIV,,,,Unchecked,14,14.1,,15.1
420712,,CGMU4992099,0,COCTG,,ITLIV/ITLIV,,,,Checked,13.6,13.57,,14.3
421588,,TTNU8427553,0,COCTG,,ITLIV/ITLIV,,,,Unchecked,14,14.1,,14.5
140282,,TRIU8740602,0,COCTG,,ESALG/ESALG,,,,Checked,13.2,14.38,,14.19
381486,,APRU5834208,0,COCTG,,ESALG/ESALG,,,,Unchecked,14,14.1,,14.7
221084,,CGMU4940921,0,COCTG,,ESALG/ESALG,,,,Checked,13.19,13.31,,14.31
461108,,APRU5090826,0,COCTG,,MTMLA/MTMLA,,,,Unchecked,13,13,,13.4
420886,,CGMU6534243,0,COCTG,,ITLIV/ITLIV,,,,Checked,13.63,13.81,,14.19
421286,,CRSU6115908,0,COCTG,,ITLIV/ITLIV,,,,Checked,13.6,12.56,,14.24
100688,,APRU6144188,0,COCTG,,ESALG/ESALG,,,,Unchecked,14,14.2,,15.1
101388,,APRU6101099,0,COCTG,,ESALG/ESALG,,,,Unchecked,13,13.1,,13.4
460182,,CGMU6526356,0,COCTG,,MTMLA/MTMLA,,,,Checked,13.31,13.5,,14.13
460386,,CGMU4915317,0,COCTG,,MTMLA/MTMLA,,,,Checked,13.3,13.35,,13.91
220086,,CGMU5182744,0,COCTG,,ESALG/ESALG,,,,Unchecked,5,5.1,,5.6
421386,,TTNU8275234,0,COCTG,,ITLIV/ITLIV,,,,Unchecked,14,14.1,,14.4
460108,,APRU5844633,0,COCTG,,MTMLA/MTMLA,,,,Unchecked,13,13,,13.5
620184,,CGMU5532930,0,COCTG,,ESALG/ESALG,,,,Checked,-0.5,-1.63,,0.38
180584,,GESU9541084,0,COCTG,,ESALG/ESALG,,,,Unchecked,13,13.1,,13.7
460706,,TRIU8512541,0,COCTG,,MTMLA/MTMLA,,,,Unchecked,13,13,,13.3
180182,,SZLU9204219,0,COCTG,,ESALG/ESALG,,,,Unchecked,13,13.1,,13.4
460304,,TRIU8660810,0,COCTG,,MTMLA/MTMLA,,,,Unchecked,13,13,,13.3
460286,,BMOU9726845,0,COCTG,,MTMLA/MTMLA,,,,Unchecked,13,13,,13.3
461106,,CGMU5106507,0,COCTG,,MTMLA/MTMLA,,,,Checked,-20,-19.3,,-19.8
180086,,SZLU9495990,0,COCTG,,ESALG/ESALG,,,,Checked,12.8,12.88,,13.06
100388,,CGMU4998590,0,COCTG,,ESALG/ESALG,,,,Checked,13.9,13.83,,14.85
420788,,TEMU9226890,0,COCTG,,ITLIV/ITLIV,,,,Unchecked,0,0,,0.6
460282,,TTNU8307408,0,COCTG,,MTMLA/MTMLA,,,,Unchecked,13,13.1,,13.5
101288,,SZLU9070790,0,COCTG,,ESALG/ESALG,,,,Unchecked,-20,-23.2,,-20.4
460908,,CGMU4830837,0,COCTG,,MTMLA/MTMLA,,,,Unchecked,13,13,,13.5
220986,,TRIU8656889,0,COCTG,,ESALG/ESALG,,,,Unchecked,13,13.1,,14.2
420988,,TCLU1132843,0,COCTG,,ITLIV/ITLIV,,,,Unchecked,13,13,,13.4
420682,,APRU5723539,0,COCTG,,ITLIV/ITLIV,,,,Unchecked,14,14.1,,14.5
460882,,CGMU6534346,0,COCTG,,MTMLA/MTMLA,,,,Unchecked,13,13.1,,13.5
621584,,CGMU5126653,0,COCTG,,ESALG/ESALG,,,,Checked,-0.5,-0.5,,1.7
460986,,CGMU9331430,0,COCTG,,MTMLA/MTMLA,,,,Checked,13.3,11.29,,14.04
420912,,APRU5747823,0,COCTG,,ITLIV/ITLIV,,,,Unchecked,13,13,,13.4
100484,,CGMU5548540,0,COCTG,,ESALG/ESALG,,,,Checked,13.9,13.9,,15.1
220386,,CGMU5517642,0,COCTG,,ESALG/ESALG,,,,Checked,-0.5,-0.5,,0.5
501182,,TLLU1054688,0,COCTG,,ESALG/ESALG,,,,Checked,8,8,,8.56
100588,,TRIU8503107,0,COCTG,,ESALG/ESALG,,,,Unchecked,14,14.1,,15.1
501186,,TEMU9064803,0,COCTG,,ESALG/ESALG,,,,Unchecked,13,13,,13.4
